Posting Date,Check Number,Description,Amount,Type,Balance
04/02/2026,,Deposit - Tenant Rent Unit 101,1800.00,Deposit,26800.00
04/03/2026,,Deposit - Tenant Rent Unit 102,2100.00,Deposit,28900.00
04/05/2026,1042,Joe's Plumbing - Emergency Drain Snaking,-500.00,Check,28400.00
04/08/2026,1043,Ace Hardware - Paint & Unit Turnover Supplies,-145.20,Check,28254.80
04/12/2026,,ACH Payment Xcel Energy Electric & Gas,-182.50,Electronic Debit,28072.30
04/15/2026,,State Farm - Property Hazard & Liability Insurance,-650.00,Electronic Debit,27422.30
04/18/2026,1044,Mile High Lawn Care - Spring Mulch & Maintenance,-220.00,Check,27202.30
04/22/2026,1045,Pro-Tech Appliance Repair - Dishwasher Repair Unit 104,-310.00,Check,26892.30
04/25/2026,,ACH Travis County Tax Collector - Real Estate Taxes,-1250.00,ACH Debit,25642.30
04/28/2026,,Chase Business Checking - Interest Payment,16.45,Interest,25658.75
